xDLNMID,xtEIND,xtConditi,nQ1,iQ2,nQ3,nQ4,iQ5,nQ6,nQ7,nQ8,nQ9,nQ10,mQ11_1,mQ11_2,mQ11_3,mQ11_4,mQ11_5,mQ11_6,mQ11_7,mQ11_8,mQ11_9,mQ11_10,mQ11_11,mQ11_12,mQ11_13,mQ11_99999997,mQ12_1,mQ12_2,mQ12_3,mQ12_4,mQ12_5,mQ12_6,mQ12_7,mQ12_8,mQ12_9,mQ12_10,mQ12_11,mQ12_12,mQ12_13,mQ12_14,mQ12_99999997,mQ13_1,mQ13_2,mQ13_3,mQ13_4,mQ13_5,mQ13_6,mQ13_7,mQ13_8,mQ13_9,mQ13_10,mQ13_11,mQ13_12,mQ13_13,mQ13_14,mQ13_15,mQ13_16,mQ13_99999997,iQ14,nQ15,nQ16,iQ17,iQ18_1,iQ18_2,iQ18_3,iQ18_4,iQ18_5,iQ18_6,iQ18_7,iQ18_8,iQ18_9,iQ18_10,iQ18_11,iQ18_12,iQ18_13,iQ18_14,iQ18_15,iQ18_16,iQ18_17,iQ18_18,iQ18_19,iQ18_20,iQ18_21,iQ18_22,iQ18_23,nQ19,iQ20,iQ21,nQ22,iQ23,nQ24,xAge,nAgeCat,nGender,xHighLevEdu,nEduLev,xIncome,nIncCat,nProv,nRegion,nShoopResp,wwighfact,nGen,nAg,nEdu,nReg
288149933,11/24/2019 14:56:10,Qualified,VVD,Very likely,1 car,No,1 person,Equally shared in decision makings,5.000-9.999,Less than 10 km,2-4 times per month,Public road,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mostly agree,No,"If I had an EV, it would be my only car",Good,I don't know,Mostly agree,Mostly agree,Mostly disagree,I don't know,Mostly agree,I don't know,Mostly disagree,Mostly disagree,I don't know,I don't know,I don't know,Mostly agree,Mostly disagree,I don't know,I don't know,I don't know,Mostly agree,I don't know,Totally agree,I don't know,Mostly agree,I don't know,"Organisations like ADAC (DE), FDM (DK), Magyar Autoklub (HU), ANWB (NL), NAF or Norsk Elbilforening (NO)",More positive,More positive,2 people,No people,€35.000 - €49.999,59,45 - 54,Man,"MBO-2,-3,-4/MBO vbefore 1998",Middle,Average,Average,Zeeland,South,Myself,1.18498113817601,Man,50 - 59,Middle,South
288149934,11/26/2019 22:21:25,Qualified,Green Left,Likely,0 cars,No,1 person,Equally shared in decision makings,I don't know,I don't know,Rare/never,Public road,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mostly agree,No,"If I had an EV, it would be my only car",Good,Mostly disagree,Mostly disagree,I don't know,I don't know,I don't know,I don't know,I don't know,Mostly disagree,Mostly disagree,I don't know,I don't know,I don't know,Mostly disagree,Mostly disagree,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Car manufacturer(s),More negative,Did not change,2 people,2 people,I'd rather not say,43,35 - 44,Woman,Bachelor HBO/WO,High,Almost average,Below average,Noord-Holland,West,My partner,1.00959294870164,Woman,40 - 49,High,West
288149941,11/27/2019 17:47:37,Qualified,PVV,Unlikely,0 cars,No,No people,Myself,I don't know,I don't know,Rare/never,I don't know,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Totally disagree,No,I would never buy an EV,Very bad,Totally agree,Totally agree,Totally agree,I don't know,Totally agree,Totally agree,Totally agree,Totally agree,I don't know,I don't know,I don't know,Totally agree,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Totally agree,I don't know,I don't know,I don't know,"Another source, not mentioned in this list",Much more positive,Much more negative,1 person,No people,€20.000 - €34.999,56,45 - 54,Woman,"MBO-2,-3,-4/MBO vbefore 1998",Middle,Below average,Below average,Zuid-Holland,3 large municipalities,Myself,.865229237684108,Woman,50 - 59,Middle,3 large municipalities
288149947,11/28/2019 15:18:56,Qualified,PvdA,Very likely,1 car,No,No people,Other(s) in the household,5.000-9.999,40-49 km,1 time per month,Own driveway/carport/garage,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Neutral,No,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Organisations like ADAC (DE), FDM (DK), Magyar Autoklub (HU), ANWB (NL), NAF or Norsk Elbilforening (NO)",Did not change,Did not change,2 people,No people,€20.000 - €34.999,65,55 - 70,Woman,VMBO (professionally-oriented)/MBO-1,Low,Below average,Below average,Zuid-Holland,West,Both in equal measure,.521697115688631,Woman,60 - 70,Low,West
288149952,11/23/2019 13:01:40,Qualified,VVD,I don't know,1 car,No,I don't know,Equally shared in decision makings,Less than 1.000 km,Less than 10 km,Several times biannually,Own driveway/carport/garage,Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Totally disagree,No,"If I had an EV, it would be my only car",I don't know,Mostly disagree,Totally disagree,Totally disagree,Totally disagree,Neutral,Neutral,Mostly disagree,Neutral,Neutral,Mostly disagree,Neutral,Neutral,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Neutral,Neutral,Mostly agree,Mostly agree,Mostly agree,Neutral,Neutral,"Family, friends, colleagues",Did not change,Did not change,2 people,No people,€50.000 - €64.999,56,45 - 54,Man,Bachelor HBO/WO,High,Between 1 and 2 times average,Above average,Noord-Brabant,South,Both in equal measure,1.74320457216155,Man,50 - 59,High,South
288149958,11/23/2019 10:20:30,Qualified,Green Left,Likely,1 car,No,2 people,Other(s) in the household,10.000-19.999,10-19 km,Several times biannually,Own driveway/carport/garage,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mostly agree,No,I don't know,Neutral,I don't know,I don't know,I don't know,Neutral,I don't know,I don't know,I don't know,Neutral,I don't know,I don't know,I don't know,Mostly agree,Mostly agree,Neutral,Mostly agree,Mostly agree,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Mostly agree,Car dealer(s),Did not change,Did not change,2 people,No people,I'd rather not say,64,55 - 70,Woman,Havo/VWO,Middle,Between 1 and 2 times average,Above average,Limburg,South,Both in equal measure,.744486690862676,Woman,60 - 70,Middle,South
288149961,11/24/2019 9:32:59,Qualified,SP,Very likely,1 car,No,2 people,Myself,5.000-9.999,20-29 km,Rare/never,Public road,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Totally agree,No,"If I had an EV, it would be my only car",I don't know,Totally disagree,Totally disagree,I don't know,I don't know,I don't know,I don't know,Mostly agree,Mostly disagree,I don't know,I don't know,Neutral,Neutral,I don't know,I don't know,Mostly agree,Mostly agree,I don't know,I don't know,I don't know,Mostly agree,I don't know,I don't know,I don't know,"Family, friends, colleagues",Did not change,Did not change,1 person,No people,I'd rather not say,63,55 - 70,Woman,Havo/VWO,Middle,Below average,Below average,Noord-Brabant,South,Both in equal measure,.74460202982391,Woman,60 - 70,Middle,South
288149964,11/27/2019 14:45:27,Qualified,VVD,Neither/nor,1 car,No,No people,Myself,1.000-4.9999,20-29 km,Rare/never,Public road,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mostly agree,No,"If I had an EV, it would be my only car",Very good,I don't know,Mostly disagree,I don't know,Neutral,I don't know,I don't know,Mostly agree,Neutral,I don't know,Neutral,Neutral,I don't know,Neutral,Mostly disagree,I don't know,Mostly agree,Mostly disagree,Neutral,I don't know,Mostly agree,I don't know,I don't know,I don't know,"Family, friends, colleagues",Did not change,Did not change,1 person,No people,€35.000 - €49.999,68,55 - 70,Man,"MBO-2,-3,-4/MBO vbefore 1998",Middle,Almost average,Below average,Noord-Brabant,South,Myself,1.2665815705856,Man,60 - 70,Middle,South
288149965,11/26/2019 14:48:08,Qualified,Don't know,Unlikely,0 cars,No,No people,Myself,I don't know,I don't know,I don't know,I don't know,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,I don't know,No,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Newsarticles (newspapers, tv and websites)",Did not change,Did not change,1 person,No people,I'd rather not say,41,35 - 44,Woman,Bachelor HBO/WO,High,Prefer not to say,Unknown,Drenthe,North,Myself,1.804167810625,Woman,40 - 49,High,North
288149971,11/24/2019 11:49:00,Qualified,PvdA,Likely,1 car,"Yes, electric car(s)",1 person,Myself,20.000-29.999,50-99 km,2-4 times per month,Parking in shared common area without individual parking space,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral,Yes,"If I had an EV, it would be my only car",Neutral,Mostly agree,Mostly agree,Neutral,Neutral,Mostly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Mostly agree,Neutral,Neutral,Neutral,Neutral,Mostly agree,Mostly agree,Neutral,Neutral,Mostly agree,Mostly agree,"Organisations like ADAC (DE), FDM (DK), Magyar Autoklub (HU), ANWB (NL), NAF or Norsk Elbilforening (NO)",Did not change,Did not change,1 person,No people,€35.000 - €49.999,39,25 - 34,Man,"Master HBO/WO, post-doctoral",High,Between 1 and 2 times average,Above average,Utrecht,West,Myself,.55797124289759,Man,30 - 39,High,West
288149974,11/25/2019 17:15:53,Qualified,PvdA,Likely,2 cars,No,No people,Myself,5.000-9.999,Less than 10 km,Rare/never,Other,Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mostly agree,No,"If I had an EV, it would be a supplement to a petrol or diesel car",Very good,Mostly disagree,Mostly disagree,Neutral,Neutral,I don't know,I don't know,I don't know,Mostly disagree,I don't know,I don't know,I don't know,Mostly disagree,Mostly agree,Mostly agree,I don't know,I don't know,I don't know,Mostly agree,I don't know,I don't know,I don't know,I don't know,I don't know,"Family, friends, colleagues",Did not change,Did not change,2 people,1 person,I'd rather not say,58,45 - 54,Woman,"MBO-2,-3,-4/MBO vbefore 1998",Middle,Prefer not to say,Unknown,Limburg,South,My partner,.718015182339532,Woman,50 - 59,Middle,South
288149975,11/24/2019 10:34:50,Qualified,50Plus,Likely,1 car,No,No people,Equally shared in decision makings,10.000-19.999,I don't know,1 time per year,Parking in shared common area without individual parking space,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral,No,I don't know,I don't know,I don't know,Neutral,I don't know,Totally agree,Totally agree,Neutral,I don't know,Mostly disagree,Neutral,Mostly agree,Mostly agree,I don't know,I don't know,Mostly disagree,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Official governmental websites,Did not change,Did not change,1 person,No people,€19.999 or less,59,45 - 54,Woman,"MBO-2,-3,-4/MBO vbefore 1998",Middle,Below average,Below average,Noord-Brabant,South,Both in equal measure,.671165053528971,Woman,50 - 59,Middle,South
288149977,11/23/2019 20:28:39,Qualified,D66,Very likely,1 car,No,1 person,Myself,1.000-4.9999,Less than 10 km,Rare/never,Public road,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral,No,"If I had an EV, it would be my only car",Neutral,Mostly disagree,Neutral,I don't know,Neutral,Neutral,Neutral,Neutral,Totally disagree,Neutral,Neutral,I don't know,I don't know,Neutral,Neutral,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Organisations like ADAC (DE), FDM (DK), Magyar Autoklub (HU), ANWB (NL), NAF or Norsk Elbilforening (NO)",Did not change,Did not change,1 person,No people,€20.000 - €34.999,59,45 - 54,Woman,"MBO-2,-3,-4/MBO vbefore 1998",Middle,Almost average,Below average,Noord-Brabant,South,Myself,1.59240650822508,Woman,50 - 59,Middle,South
288149979,11/23/2019 8:55:04,Qualified,PVV,Very likely,1 car,No,No people,Other(s) in the household,50.000 or more,200 km or more,4-5 times per week or more often,Public road,Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Totally disagree,No,I don't know,Neutral,Mostly disagree,Mostly disagree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally disagree,Totally disagree,Totally agree,Totally agree,Totally agree,Neutral,Totally agree,Totally agree,Totally disagree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Car dealer(s),Did not change,Did not change,2 people,No people,€110.000 or more,58,45 - 54,Woman,VMBO (theoretical/mixed)/Mavo,Middle,More than 2 times average,Above average,Noord-Brabant,South,Both in equal measure,.898832194641814,Woman,50 - 59,Middle,South
288149980,11/27/2019 8:07:16,Qualified,PvdD,I don't know,1 car,No,1 person,Myself,I don't know,Less than 10 km,Several times biannually,Other,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Totally agree,No,"If I had an EV, it would be my only car",Good,Mostly disagree,Neutral,Neutral,Totally agree,I don't know,I don't know,I don't know,Neutral,I don't know,I don't know,Mostly agree,Mostly agree,I don't know,Mostly disagree,I don't know,I don't know,Neutral,Totally agree,Neutral,Mostly agree,I don't know,I don't know,I don't know,"Organisations like ADAC (DE), FDM (DK), Magyar Autoklub (HU), ANWB (NL), NAF or Norsk Elbilforening (NO)",Did not change,Did not change,1 person,No people,I'd rather not say,59,45 - 54,Woman,"MBO-2,-3,-4/MBO vbefore 1998",Middle,Prefer not to say,Unknown,Limburg,South,Unknown,.704777171692196,Woman,50 - 59,Middle,South
288149981,11/25/2019 18:40:01,Qualified,CDA,Likely,2 cars,No,No people,Equally shared in decision makings,20.000-29.999,30-39 km,2-4 times per month,Own driveway/carport/garage,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mostly agree,No,"If I had an EV, it would be a supplement to a petrol or diesel car",Good,Mostly disagree,Neutral,Mostly agree,Mostly disagree,Neutral,Mostly agree,Mostly disagree,Mostly agree,Mostly disagree,Neutral,Totally agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Neutral,Mostly agree,Neutral,Totally agree,Mostly agree,Totally agree,Totally agree,Official governmental websites,More negative,Did not change,2 people,No people,I'd rather not say,63,55 - 70,Woman,"MBO-2,-3,-4/MBO vbefore 1998",Middle,Prefer not to say,Unknown,Noord-Brabant,South,Unknown,1.94460226882475,Woman,60 - 70,Middle,South
288149983,11/25/2019 17:38:42,Qualified,VVD,Neither/nor,2 cars,No,No people,Equally shared in decision makings,10.000-19.999,20-29 km,1 time per month,Own driveway/carport/garage,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Totally disagree,No,I would never buy an EV,Good,Totally agree,Neutral,I don't know,I don't know,I don't know,Neutral,Mostly agree,Mostly disagree,I don't know,Neutral,I don't know,I don't know,Mostly agree,Neutral,I don't know,Neutral,I don't know,Neutral,Neutral,Neutral,Neutral,Neutral,Mostly agree,"Another source, not mentioned in this list",Did not change,Did not change,2 people,No people,I'd rather not say,64,55 - 70,Woman,Havo/VWO,Middle,Prefer not to say,Unknown,Zeeland,South,Myself,1.74320457216155,Woman,60 - 70,Middle,South
288149994,11/24/2019 11:43:25,Qualified,SP,Very unlikely,0 cars,No,No people,Equally shared in decision makings,Less than 1.000 km,Less than 10 km,Rare/never,Public road,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mostly agree,No,"If I had an EV, it would be my only car",Good,Mostly disagree,Mostly disagree,Neutral,Mostly disagree,Neutral,Neutral,Mostly agree,Mostly agree,Neutral,Neutral,Mostly agree,Neutral,Mostly agree,Mostly disagree,Neutral,Mostly agree,Neutral,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Car dealer(s),Did not change,Did not change,2 people,No people,€20.000 - €34.999,65,55 - 70,Man,"MBO-2,-3,-4/MBO vbefore 1998",Middle,Almost average,Below average,Noord-Brabant,South,Myself,.557740637701286,Man,60 - 70,Middle,South
