NMID,tEND,tConditi,Country,Gender,RegionGermany,PunchRegionGermany,RegionHungary,PunchRegionHungary,RegionNorway,PunchRegionNorway,RegionDenmark,EducationGermany,EducationHungary,EducationNorway,EducationDenmark,Edu,PoliticsGermany,PoliticsGermanyt,PoliticsHungary,PoliticsHungaryt,PoliticsNorway,PoliticsDenmark,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_99999997,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_99999997,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q13_16,Q13_99999997,Q14,Q15,Q16,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q18_13,Q18_14,Q18_15,Q18_16,Q18_17,Q18_18,Q18_19,Q18_20,Q18_21,Q18_22,Q18_23,Q19,Q20,Q21,Q16a,Q16b,Q16bt,Price,Q22,Q23,Q24,lft,Lftcat,wgrim
297287576,4/28/2020,1,6,2,2,5, , , , , ,5, , , ,2,6,0, , , , ,2,2,4,1,3,4,1,7,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,2,2,1,2,4,4,3,3,2,2,2,4,3,3,2,3,2,3,2,2,4,2,99999997,2,99999997,2,2,3,3,2,3,3,0,15000,2,1,2,61,5,.382588648963228
297287577,4/28/2020,1,6,2,1,5, , , , , ,5, , , ,2,9,0, , , , ,2,3,4,1,1,4,2,4,2,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,3,99999997,99999997,3,3,3,4,3,99999997,99999997,2,1,4,99999997,3,99999997,2,2,1,1,1,2,99999997,2,2,2,2,4,3,3,1,1,0,4000,2,1,99999997,52,4,.972678754667041
297287578,4/28/2020,1,6,1,9,2, , , , , ,5, , , ,2,11,0, , , , ,1,3,4,1,1,4,3,5,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,5,1,2,99999997,3,3,99999997,2,2,3,1,1,3,1,3,3,4,1,1,99999997,99999997,3,3,3,3,2,1,4,1,4,5,7,0,45000,2,3,5,27,2,2.00946576681627
297287579,4/28/2020,1,6,2,1,5, , , , , ,8, , , ,3,99999997,0, , , , ,1,2,4,1,1,4,3,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,2,2,1,2,4,4,3,2,2,3,2,2,2,2,2,2,2,3,2,3,4,2,2,1,2,2,4,4,4,2,3,3,0,15000,2,1,2,60,5,1.0685770371281
297287580,4/28/2020,1,6,1,10,4, , , , , ,8, , , ,3,3,0, , , , ,1,2,1,2,1,8,4,2,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,0,110000,2,3,8,25,2,.933131173166752
297287581,4/28/2020,1,6,2,13,3, , , , , ,8, , , ,3,6,0, , , , ,1,2,4,1,1,5,6,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2,1,3,3,3,99999997,99999997,99999997,2,1,5,5,3,99999997,99999997,4,99999997,99999997,99999997,99999997,1,99999997,2,99999997,1,1,8,3,3,4,3,0,25000,1,3,4,36,3,.363560558731328
297287582,4/28/2020,1,6,1,7,1, , , , , ,4, , , ,2,3,0, , , , ,1,2,4,1,1,2,1,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,3,3,3,3,4,2,2,3,4,2,4,2,3,3,4,3,3,3,2,3,2,3,3,3,4,3,3,1,5,0,4000,2,2,2,53,4,.768693074816584
297287583,4/28/2020,1,6,2,6,2, , , , , ,3, , , ,2,2,0, , , , ,2,2,3,1,1,5,5,2,4,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,2,1,2,4,4,99999997,4,99999997,2,2,4,4,4,4,2,99999997,99999997,99999997,99999997,4,2,99999997,99999997,99999997,4,99999997,4,3,3,5,6,0,45000,2,3,2,33,2,.847958330080713
297287584,4/28/2020,1,6,2,9,2, , , , , ,7, , , ,3,1,0, , , , ,1,4,2,4,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,7500,1,3,7,20,1,1.02368495581412
297287585,4/28/2020,1,6,1,9,2, , , , , ,3, , , ,2,2,0, , , , ,2,2,1,2,1,2,7,4,4,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,2,2,2,3,3,2,3,4,2,3,2,3,0,7500,1,2,2,50,4,1.02384888118347
297287586,4/28/2020,1,6,2,9,2, , , , , ,3, , , ,2,11,0, , , , ,5,1,4,1,1,99999997,99999997,8,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,3,99999997,2,1,1,4,2,1,3,3,3,2,3,1,1,3,3,99999997,99999997,99999997,99999997,1,2,1,1,8,3,3,99999997, , , ,1,1,1,56,5,1.86717973762897
297287587,4/28/2020,1,6,2,1,5, , , , , ,3, , , ,2,9,0, , , , ,99999997,3,99999997,1,3,4,4,6,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99999997,2,99999997,99999997,99999997,99999997,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,99999997,99999997,8,3,3,4,2,0,25000,2,2,8,32,2,.877594969834028
297287588,4/28/2020,1,6,1,6,2, , , , , ,5, , , ,2,2,0, , , , ,1,2,4,2,1,3,5,5,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,2,2,1,2,3,3,2,3,2,2,3,3,4,3,2,2,3,3,1,2,3,1,3,1,2,2,1,3,3,4,4,3,0,25000,1,1,99999997,64,5,1.09216017413092
297287590,4/28/2020,1,6,1,10,4, , , , , ,2, , , ,1,1,0, , , , ,3,1,2,3,1,3,3,3,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,3,2,3,2,2,3,2,1,2,1,2,3,3,2,2,2,3,2,3,2,1,1,2,2,1,2,4,0,7500,1,2,1,44,3,1.10565654574936
297287591,4/28/2020,1,6,1,9,2, , , , , ,4, , , ,2,4,0, , , , ,1,2,4,2,1,5,5,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,2,4,4,4,4,4,3,3,4,3,4,3,3,4,3,2,2,3,2,2,2,4,3,3,4,3,3,4,7,0,25000,3,2,6,55,5,.785567461051714
297287592,4/28/2020,1,6,2,4,3, , , , , ,8, , , ,3,5,0, , , , ,1,3,4,1,3,4,1,5,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,2,1,1,4,4,4,99999997,3,3,3,1,1,3,2,2,3,2,2,2,3,3,1,3,2,3,99999997,3,1,3,3,3,2,0,15000,2,1,8,61,5,.635282940079595
297287593,4/28/2020,1,6,2,9,2, , , , , ,4, , , ,2,7,0, , , , ,1,2,2,3,1,5,4,4,2,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,3,4,4,5,5,3,2,2,2,2,3,3,3,4,3,2,3,3,4,4,4,5,5,6,2,3,5,3,0,45000,3,2,3,23,1,.760600569541645
297287594,4/28/2020,1,6,1,2,5, , , , , ,2, , , ,1,3,0, , , , ,1,2,1,3,3,2,2,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,2,1,2,1,1,2,2,1,1,2,1,1,1,1,2,2,2,0,7500,3,1,1,25,2,.668559715853158
297287595,4/28/2020,1,6,1,10,4, , , , , ,6, , , ,3,1,0, , , , ,1,3,3,3,2,4,6,5,2,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,2,2,3,1,1,1,2,2,2,2,2,1,2,2,2,3,1,1,2,1,6,1,1,6,2,0,75000,2,3,6,33,2,1.43245738380655
297287596,4/28/2020,1,6,1,2,5, , , , , ,3, , , ,2,3,0, , , , ,2,2,2,3,1,6,4,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,2,2,2,4,2,3,4,2,4,2,3,2,2,2,4,4,3,3,2,3,3,4,2,3,4,4,2,2,6,6,0,75000,3,2,5,21,1,.850091730246653
297287597,4/28/2020,1,6,1,10,4, , , , , ,8, , , ,3,4,0, , , , ,1,2,1,3,1,6,4,3,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,2,2,2,3,4,3,3,3,3,3,3,5,3,2,3,4,3,3,3,4,4,4,2,3,2,2,2,4,2,0,25000,2,3,8,36,3,1.07417276664786
297287598,4/28/2020,1,6,2,7,1, , , , , ,4, , , ,2,8,npd, , , , ,1,2,4,1,1,8,7,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,4,2,2,2,4,4,1,4,4,3,2,2,2,3,3,1,2,2,1,2,2,2,2,2,4,2,4,4,3,3,4,2,0,25000,2,1,5,55,5,.863880921400851
297287599,4/28/2020,1,6,1,10,4, , , , , ,8, , , ,3,6,0, , , , ,1,2,4,1,1,8,8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,3,5,5,1,1,5,5,1,5,1,5,1,3,1,1,99999997,1,1,1,1,1,1,1,1,1,5,3,5,8,5,0,160000,2,1,8,27,2,.518102937520917
297287600,4/28/2020,1,6,1,7,1, , , , , ,8, , , ,3,9,0, , , , ,1,2,4,2,1,4,5,8,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,2,2,99999997,3,3,3,4,99999997,2,99999997,99999997,1,3,99999997,99999997,99999997,3,3,2,2,2,3,99999997,3,3,3,1,3,3,5,2,0,45000,2,1,99999997,53,4,1.19206539684305
297287601,4/28/2020,1,6,1,2,5, , , , , ,5, , , ,2,3,0, , , , ,1,3,3,2,1,4,4,4,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,2,2,2,5,4,4,4,4,4,4,2,4,4,2,4,2,2,2,2,4,2,4,1,4,2,3,3,4,3,4,2,0,25000,2,1,4,69,5,.800439579322951
297287602,4/28/2020,1,6,2,2,5, , , , , ,4, , , ,2,5,0, , , , ,1,2,4,1,1,3,1,5,2,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,3,2,1,2,4,4,3,5,4,4,4,2,3,3,3,2,2,3,1,2,2,2,3,1,2,1,1,4,2,2,3,1,0,15000,1,1,2,51,4,.606284720933062
297287603,4/28/2020,1,6,2,7,1, , , , , ,6, , , ,3,4,0, , , , ,3,3,4,3,2,6,4,5,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,3,4,2,3,3,2,3,4,4,3,3,3,3,4,4,3,4,3,3,4,4,3,3,4,3,3,4,5,0,25000,1,1,4,25,2,.855995579476265
297287605,4/28/2020,1,6,1,1,5, , , , , ,5, , , ,2,1,0, , , , ,99999997,3,4,1,3,4,2,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,5,5,6,0,45000,2,1,3,52,4,1.15190613542078
297287607,4/28/2020,1,6,2,10,4, , , , , ,8, , , ,3,1,0, , , , ,1,2,4,1,3,4,2,7,2,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,2,1,2,5,5,5,4,99999997,99999997,2,4,2,3,2,4,1,5,2,99999997,4,2,4,1,99999997,99999997,2,1,5,2,5,3,0,45000,2,1,4,37,3,1.20755807328854
297287608,4/28/2020,1,6,1,1,5, , , , , ,5, , , ,2,11,0, , , , ,5,3,4,1,3,5,6,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,3,5,1,3,3,3,3,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,1,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,8,3,3,5,3,0,45000,2,1,8,44,3,2.3569866362663
297287610,4/28/2020,1,6,1,9,2, , , , , ,3, , , ,2,1,0, , , , ,3,3,4,3,3,4,4,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,3,3,3,4,4,3,4,5,3,3,2,3,4,4,3,4,99999997,99999997,3,3,3,3,3,5,4,3,2,6,3,0,75000,3,3,3,39,3,.857942582569793
297287611,4/28/2020,1,6,1,10,4, , , , , ,2, , , ,1,8,Pioraten, , , , ,1,4,2,2,1,4,3,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,5,5,3,4,3,4,2,4,4,2,2,1,1,1,2,4,4,2,5,1,4,4,2,3,3,2,5,3,0,45000,3,1,7,57,5,1.01194192295151
297287612,4/28/2020,1,6,1,3,3, , , , , ,8, , , ,3,1,0, , , , ,1,3,2,3,2,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,2,3,4,5,5,4,4,3,2,3,3,3,2,3,2,3,3,3,4,4,5,5,4,4,2,2,7,5,0,110000,1,3,5,29,2,1.19238389762044
297287613,4/28/2020,1,6,2,4,3, , , , , ,4, , , ,2,11,0, , , , ,1,2,4,2,1,2,99999997,6,4,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,99999997,2,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,8,3,3,2,2,0,7500,1,1,1,51,4,2.22089922198126
297287614,4/28/2020,1,6,2,9,2, , , , , ,5, , , ,2,2,0, , , , ,1,2,4,1,3,5,4,4,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3,2,3,4,1,3,3,3,3,3,1,1,3,3,3,99999997,1,3,1,1,3,1,1,1,3,2,2,3,3,4,4,7,0,25000,2,1,5,62,5,.940191899567289
297287615,4/28/2020,1,6,2,10,4, , , , , ,7, , , ,3,5,0, , , , ,2,2,2,3,2,1,1,4,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,1,2,2,3,4,4,4,4,4,4,4,4,4,4,1,1,1,1,5,4,3,2,2,2,2,3,5,2,2,1,1,0,4000,2,1,1,19,1,.839048220862075
297287616,4/28/2020,1,6,2,10,4, , , , , ,4, , , ,2,9,0, , , , ,99999997,2,4,2,1,3,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999997,2,3,5,3,3,3,3,3,3,3,4,3,3,3,2,2,2,2,2,2,2,99999997,99999997,99999997,99999997,2,3,3,3,9, , , ,1,1,99999997,65,5,1.11495127733668
297287617,4/28/2020,1,6,1,7,1, , , , , ,3, , , ,2,3,0, , , , ,3,2,4,1,3,4,3,7,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,2,1,99999997,5,99999997,5,3,99999997,99999997,1,1,99999997,3,1,2,3,5,1,1,99999997,1,99999997,1,3,1,99999997,5,3,3,3,99999997,0, ,2,3,2,36,3,.714248528626633
297287618,4/28/2020,1,6,2,4,3, , , , , ,4, , , ,2,7,0, , , , ,2,2,1,2,1,5,4,3,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,2,2,3,2,2,2,2,4,3,4,3,4,2,4,3,4,3,1,2,3,4,2,3,3,2,5,3,0,45000,2,1,5,30,2,.742454677341767
297287619,4/28/2020,1,6,1,3,3, , , , , ,8, , , ,3,4,0, , , , ,2,2,4,1,1,3,1,4,4,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,3,2,1,2,2,1,2,2,3,99999997,1,2,1,3,1,1,3,1,2,2,3,1,2,3,3,4,3,1,0,15000,2,1,6,59,5,1.02650866480584
